p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HMGN2	0	1.04319833345739	0.946	0.659	0
RANBP1	0	0.998500272690615	0.943	0.71	0
HMGB1	0	0.976391096396805	0.967	0.797	0
CCT5	0	0.954527999625675	0.953	0.823	0
H2AFZ	0	0.875400599530517	0.974	0.848	0
TUBA1B	0	0.808252521315082	0.974	0.867	0
PTMA	0	0.917719363937648	0.987	0.881	0
TUBB	0	0.763730294340475	0.979	0.88	0
CCT2	0	0.743306779615445	0.978	0.906	0
CDK4	0	0.647520856677803	0.995	0.964	0
NEAT1	0	-2.24392265961151	0.947	0.959	0
PBK	1.97249074127915e-296	1.44472231374656	0.744	0.329	6.45754018879969e-292
HSPD1	3.90032537553072e-293	0.782367133156256	0.958	0.826	1.27688852144125e-288
PTGES3	3.9722812866424e-291	0.845566544683216	0.95	0.762	1.30044544762099e-286
TPX2	5.12004329001981e-290	1.35367272696561	0.807	0.42	1.67619977228668e-285
HNRNPAB	3.76590141936048e-288	0.972797478279969	0.931	0.679	1.23288080667024e-283
DEK	3.30744331699645e-282	0.922063382960836	0.94	0.695	1.0827907931183e-277
YEATS4	5.49007942772737e-280	0.855202710821094	0.959	0.802	1.79734220304939e-275
MT-ND3	2.6780041032815e-276	-1.22115790543209	0.989	0.987	8.76724983332296e-272
ACTB	2.209829351544e-273	0.520815180053745	0.994	0.947	7.23453933108474e-269
RAN	9.69353534794654e-272	0.822234586177924	0.931	0.758	3.17346960221074e-267
STMN1	4.11385505884015e-271	1.01600247534169	0.907	0.598	1.34679386916309e-266
UBE2S	2.60970104422451e-266	1.13280014700605	0.867	0.533	8.54363927858221e-262
LLPH	3.42057742658087e-263	0.609757661354562	0.986	0.921	1.11982863791404e-258
KIAA0101	2.09746105207746e-262	1.12564352718693	0.831	0.453	6.86666799229119e-258
EIF5A	9.39343366472547e-256	0.71709150563544	0.962	0.791	3.07522231315783e-251
HSP90AA1	8.76194328125924e-254	0.628060221122902	0.979	0.918	2.86848499141865e-249
NUSAP1	9.98485369687696e-253	1.37738113921826	0.703	0.32	3.26884140328358e-248
TYMS	1.92375314588458e-250	1.06782950007373	0.858	0.527	6.29798304899692e-246
SNRPD1	2.10818499885533e-244	0.868390180832599	0.917	0.668	6.90177604925258e-240
HIST1H4C	5.50683641756429e-244	1.54663326252814	0.828	0.551	1.8028281063822e-239
RRM2	9.5951827195833e-237	1.22216929153832	0.735	0.35	3.14127091873718e-232
PA2G4	1.76673181519548e-235	0.908523663127108	0.912	0.663	5.78392661658697e-231
NCL	6.7891166151025e-234	0.818306098142977	0.943	0.784	2.22262099745226e-229
RWDD1	6.8615893031087e-232	0.634465649209512	0.981	0.859	2.24634710605173e-227
PPP1CC	2.72526176627343e-231	0.815563248347782	0.936	0.732	8.92196197042595e-227
LSM5	6.87870257208002e-231	0.767577817163839	0.952	0.733	2.25194964804756e-226
CYCS	1.52525654633321e-230	0.757157275386678	0.941	0.748	4.99338488138567e-226
MALAT1	1.49347864812336e-229	-1.53500650145232	0.989	0.987	4.88935039822626e-225
ACTG1	7.70910723134455e-228	0.564888176364241	0.987	0.91	2.52380752539758e-223
HSP90AB1	2.14316978008333e-226	0.570901670422824	0.98	0.907	7.0163092260368e-222
UBE2C	4.02310235922121e-223	1.58597250780283	0.632	0.28	1.31708325036184e-218
MKI67	1.00016722771749e-222	0.983178840180592	0.794	0.424	3.27434747010152e-218
ZWINT	1.10518617770608e-221	1.26588916306049	0.667	0.3	3.61815850857417e-217
TOP2A	8.55227454001295e-221	1.17693563727435	0.747	0.396	2.79984363890944e-216
HMMR	8.85109490338278e-221	1.43664241596639	0.656	0.299	2.89767144946945e-216
UBE2T	4.56994789365595e-220	1.25767597266825	0.681	0.323	1.49610954142509e-215
EIF1AX	1.7065246252532e-218	0.793550178574715	0.928	0.697	5.58682031815391e-214
LSM6	1.26374244582168e-216	0.93866930217345	0.874	0.605	4.13724001913101e-212
DTYMK	1.89314811966013e-215	0.961666608660414	0.829	0.494	6.19778831414334e-211
H3F3B	3.05193723622599e-215	0.734044042807727	0.935	0.739	9.99143212395664e-211
SERBP1	3.82614874876043e-211	0.720487773016488	0.94	0.761	1.25260457736919e-206
GPN3	2.07414564968113e-208	0.95398139264412	0.855	0.564	6.79033802792608e-204
CKS1B	3.49398294633331e-207	1.06914151973346	0.769	0.424	1.1438601369706e-202
PRC1	2.10696512267542e-206	1.14675834445464	0.721	0.364	6.89778241861479e-202
SMC4	1.94639564798147e-205	0.879103821791744	0.818	0.487	6.37211007236173e-201
TUBB4B	2.68179650400048e-205	0.889418166140119	0.873	0.61	8.77966539479678e-201
SET	8.31893953734738e-205	0.823655993774126	0.917	0.676	2.72345442573679e-200
BIRC5	5.09148648281208e-203	1.14442473617344	0.691	0.326	1.66685084474302e-198
CDKN3	4.67734601183092e-202	1.0803920823096	0.738	0.376	1.53126953735321e-197
ABCE1	2.73546777480031e-200	0.859647692091191	0.899	0.681	8.95537440114124e-196
NCAPG	3.50589677700664e-198	1.20254318961572	0.625	0.272	1.14776048685643e-193
NPM1	3.69170786846817e-198	0.563854297033499	0.97	0.88	1.20859132197911e-193
CCNB1	1.11140515314256e-197	1.31152631665567	0.66	0.321	3.63851819035812e-193
TMPO	6.61898318172799e-197	1.08837121600976	0.705	0.358	2.16692271403411e-192
EIF4A1	5.01993190341044e-193	0.626503474853441	0.951	0.831	1.64342530653851e-188
RPS2	1.95762359785366e-192	0.469122705010102	0.994	0.944	6.40886813465331e-188
NUCKS1	2.0863611796282e-192	0.734998435967063	0.928	0.733	6.83032922986682e-188
CCT6A	8.93505425728063e-191	0.806896813760197	0.881	0.638	2.92515806274853e-186
