p_val	avg_log2FC	pct.1	pct.2	p_val_adj
NEAT1	2.97525438883221e-44	-4.55634051787136	0.375	0.825	9.7403878181589e-40
BIRC5	2.94466897068397e-31	3.48939846612807	0.346	0.08	9.64025727622518e-27
PBK	1.4904413663325e-27	3.377230926978	0.301	0.068	4.87940694509934e-23
DEPDC1	7.89358619301135e-27	3.57171863291011	0.265	0.054	2.58420224786805e-22
MALAT1	2.12969283090128e-26	-3.17812309104955	0.985	0.992	6.97218838980461e-22
MTRNR2L12	8.93871310881175e-26	-3.10780572171578	0.257	0.71	2.92635589756279e-21
RRM2	1.28203794383345e-23	3.01209960772742	0.265	0.059	4.19713582052194e-19
PSAP	1.51756759603204e-23	-1.9010740949486	0.324	0.725	4.96821279588968e-19
AURKA	4.43879326217979e-22	3.48911370325136	0.309	0.086	1.45317213817242e-17
HMMR	9.08974788244535e-22	3.32442168173374	0.272	0.068	2.97580166175496e-17
SLC25A37	3.71986228491019e-21	-2.23038927558991	0.294	0.684	1.2178085148339e-16
PTMA	6.21439030656045e-21	1.59179072175822	0.75	0.63	2.03446709856176e-16
FN1	4.23198436565751e-19	-1.63726428207893	0.346	0.711	1.38546704162895e-14
NUSAP1	1.36562414158859e-18	2.75072467337523	0.301	0.092	4.47078031473272e-14
WSB1	1.60625365237777e-18	-2.99019203731834	0.199	0.578	5.25855320715433e-14
ANLN	2.23804706788549e-18	2.78126496988881	0.294	0.088	7.32691849084353e-14
XIST	7.74530651939167e-18	-2.32443467589924	0.221	0.605	2.53565844831844e-13
ITGA1	2.73107114740915e-16	-2.39285162093428	0.074	0.445	8.94098072238807e-12
CDH13	5.03164940451066e-16	-1.55749649056943	0.257	0.612	1.6472613820487e-11
N4BP2L2	7.45267054205626e-16	-2.0379860381009	0.184	0.545	2.43985528205838e-11
TPX2	3.02470438783262e-15	3.04093466151769	0.346	0.14	9.90227722488642e-11
MKI67	6.64427766991764e-15	2.57555354926313	0.294	0.102	2.17520362357764e-10
VEGFA	9.20807319857416e-15	-1.44827606335553	0.316	0.679	3.01453900374921e-10
HMGA2	2.00520284939433e-14	-1.70344876128519	0.221	0.562	6.56463308834715e-10
CDKN3	2.60659425064372e-14	2.71826882569059	0.316	0.123	8.53346825775742e-10
ATXN2	2.95035246210368e-14	-1.89474842393262	0.199	0.544	9.65886389043501e-10
PNISR	3.89537879175894e-14	-1.67056054613667	0.235	0.582	1.27526910884604e-09
PRC1	4.81558571686148e-14	2.47742499209523	0.309	0.117	1.57652645198611e-09
TPBG	5.10143406987288e-14	-1.26696867742264	0.206	0.542	1.67010748579498e-09
CCNB1	1.16629661251732e-13	3.00790165436083	0.279	0.101	3.8182218500592e-09
POLR2J3	2.28564483528467e-13	-3.03120089757388	0.088	0.398	7.48274406175496e-09
SLC25A36	2.30490844189344e-13	-1.78154313692346	0.221	0.544	7.54580925707075e-09
PSD3	2.37234208504673e-13	-1.5900021232399	0.199	0.529	7.76657351802597e-09
HILPDA	3.60791468792491e-13	-1.9071156270867	0.132	0.44	1.18115911053286e-08
ANKRD12	3.72351920281921e-13	-1.26686023283725	0.176	0.507	1.21900571661895e-08
PXDN	6.21237545742529e-13	-1.14637599636582	0.132	0.461	2.03380747725189e-08
RP11-14N7.2	8.43509644146197e-13	-1.72871712815152	0.243	0.548	2.76148187300582e-08
COL1A2	1.12218120840817e-12	-1.21166008115659	0.375	0.681	3.67379684008668e-08
CTSB	1.36737338005752e-12	-0.994383911012633	0.434	0.71	4.4765069716323e-08
KIAA0101	1.50748228103993e-12	2.66799618929234	0.309	0.127	4.93519549166852e-08
IRAK3	2.02290141200166e-12	-1.92615512269821	0.199	0.527	6.62257464261104e-08
HSP90AA1	2.56545142997666e-12	1.08920704433025	0.779	0.745	8.39877489145759e-08
LRP1	3.13931758747536e-12	-1.27095383804366	0.243	0.55	1.02774979178768e-07
LAMP1	3.29025818137797e-12	-1.12974412184535	0.221	0.544	1.07716472341952e-07
ENOSF1	3.38229782507869e-12	-2.30022498392491	0.14	0.437	1.10729666197426e-07
C3	3.44053310826228e-12	-1.23380518813873	0.154	0.469	1.12636172898291e-07
ATP6AP2	4.24506953065149e-12	-1.33098524262971	0.331	0.607	1.38975086294468e-07
MACF1	4.60022148527922e-12	-1.39404043397121	0.235	0.573	1.50602050985071e-07
ZNF432	5.02055815541202e-12	-2.03930878146384	0.118	0.425	1.64363032891879e-07
CENPF	7.11701838095421e-12	2.33377991335582	0.375	0.184	2.32996947755679e-07
UBE2C	8.99592725855209e-12	2.77114204415949	0.25	0.091	2.94508666590478e-07
ZNF292	1.21315214794955e-11	-1.1371246963807	0.162	0.48	3.97161750195723e-07
HEXA	1.34425771292324e-11	-1.15002221080174	0.103	0.408	4.40083090056809e-07
GLG1	1.36608415105035e-11	-1.3768454171885	0.132	0.429	4.47228629370864e-07
GPATCH2L	1.38767782877604e-11	-1.95757632362823	0.096	0.378	4.542979675847e-07
RBM39	1.87340914997072e-11	-1.1892315128232	0.243	0.552	6.13316687517414e-07
TOP2A	1.97256477543996e-11	2.58424609133541	0.301	0.128	6.45778256183534e-07
CD63	2.67437240232342e-11	-0.904405076177127	0.625	0.842	8.75536037072642e-07
MRC2	3.46828961195102e-11	-1.49422728222652	0.169	0.465	1.13544865316052e-06
PPIA	4.84262707496433e-11	0.975626625264268	0.728	0.68	1.58537925180182e-06
ZKSCAN1	4.85538896037669e-11	-1.30592174963477	0.221	0.52	1.58955723784812e-06
ARHGAP24	4.93754263019041e-11	-1.78178263683305	0.118	0.402	1.61645270627174e-06
